street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Tunagatan 58A,Bärby Hage,Uppsala kommun,5750000,79861.11,0.0,,72.0,72.0,6.0,668.0,/salda/villa-6rum-barby-hage-uppsala-kommun-tunagatan-58a-8980088243543786124
Nodéns väg 15,Lugnet,Uppsala kommun,7890000,48404.91,5.0,,163.0,,7.0,1355.0,/salda/villa-7rum-lugnet-uppsala-kommun-nodens-vag-15-3147597481868164999
Malma ringväg 48,Norby,Uppsala kommun,6500000,48507.46,,,134.0,2.0,4.0,725.3,/salda/villa-4rum-norby-uppsala-kommun-malma-ringvag-48-5031245666153551788
Havsörnsvägen 8,Sunnersta,Uppsala kommun,6030000,32594.59,1.0,,185.0,19.0,7.0,820.0,/salda/villa-7rum-sunnersta-uppsala-kommun-havsornsvagen-8-2846580545912392381
Södra Parkvägen 8,Norby,Uppsala kommun,10850000,84108.53,55.0,,129.0,129.0,4.0,2633.0,/salda/villa-4rum-norby-uppsala-kommun-sodra-parkvagen-8-7889035786580404136
Duvhöksvägen 5,Bergsbrunna,Uppsala kommun,7050000,39830.51,-8.0,,177.0,13.0,5.0,904.0,/salda/villa-5rum-bergsbrunna-uppsala-kommun-duvhoksvagen-5-8738168745847668510
Narves gränd 7,Gamla Uppsala,Uppsala kommun,6700000,55833.33,-4.0,,120.0,97.0,5.0,840.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-narves-grand-7-2969374960921801297
Bergsbrunna villaväg 74,Bergsbrunna,Uppsala kommun,6200000,50000.0,3.0,,124.0,124.0,7.0,1025.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-74-1703846131450660406
Robertsvägen 1,Berthåga,Uppsala kommun,6360000,39259.26,16.0,,162.0,55.0,6.0,1385.0,/salda/villa-6rum-berthaga-uppsala-kommun-robertsvagen-1-916787785743276320
Hildvägen 15,Gamla Uppsala,Uppsala kommun,5365000,55885.42,8.0,,96.0,96.0,5.0,801.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-hildvagen-15-4642681676222005872
Höders väg 1,Gamla Uppsala,Uppsala kommun,7050000,47000.0,4.0,,150.0,108.0,8.0,1150.0,/salda/villa-8rum-gamla-uppsala-uppsala-kommun-hoders-vag-1-4884555854869610713
Klintvägen 47,Vårdsätra,Uppsala kommun,5000000,40650.41,25.0,,123.0,58.0,,2346.0,/salda/villa-123m2-vardsatra-uppsala-kommun-klintvagen-47-4949077114731519882
Tunagatan 42,Bärby Hage,Uppsala kommun,5120000,45714.29,3.0,,112.0,6.0,5.0,469.0,/salda/villa-5rum-barby-hage-uppsala-kommun-tunagatan-42-5585476838890836329
Konsumvägen 33C,Norby,Uppsala kommun,9850000,64802.63,30.0,,152.0,,6.0,1208.0,/salda/villa-6rum-norby-uppsala-kommun-konsumvagen-33c-7449477439601653724
Vaksala Rörby 133A,Slavsta,Uppsala kommun,6995000,36815.79,0.0,,190.0,,7.0,735.0,/salda/villa-7rum-slavsta-uppsala-kommun-vaksala-rorby-133a-3348388815187726942
Radargatan 2,Bärby Hage,Uppsala kommun,5900000,33714.29,-29.0,,175.0,89.0,8.0,1298.3,/salda/villa-8rum-barby-hage-uppsala-kommun-radargatan-2-2530693143623803411
Furudalsvägen 17A,Berthåga,Uppsala kommun,5750000,33430.23,1.0,,172.0,7.0,6.0,896.0,/salda/villa-6rum-berthaga-uppsala-kommun-furudalsvagen-17a-9031662666003358359
Malma Parkväg 13,Norby,Uppsala kommun,8073000,70200.0,5.0,,115.0,100.0,6.5,1550.0,"/salda/villa-6,5rum-norby-uppsala-kommun-malma-parkvag-13-6103770970453089214"
Spanargatan 7,Bärby Hage,Uppsala kommun,5700000,68674.7,7.0,,83.0,80.0,4.0,665.0,/salda/villa-4rum-barby-hage-uppsala-kommun-spanargatan-7-6985739909309744847
Danmarks-Söderby Perslund 164,Danmark,Uppsala kommun,4300000,29054.05,12.0,,148.0,26.0,3.0,2980.0,/salda/villa-3rum-danmark-uppsala-kommun-danmarks-soderby-perslund-164-8067216148428516220
Iduns väg 34,Gamla Uppsala,Uppsala kommun,5500000,63953.49,5.0,,86.0,,4.0,1093.0,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-iduns-vag-34-8246244538053100353
Bergagatan 50,Kungsgärdet,Uppsala kommun,8765000,81157.41,6.0,,108.0,99.0,6.0,560.9,/salda/villa-6rum-kungsgardet-uppsala-kommun-bergagatan-50-7029624768501709022
Nåntuna Backe 33,Nåntuna,Uppsala kommun,5610000,38424.66,5.0,,146.0,,6.0,649.0,/salda/villa-6rum-nantuna-uppsala-kommun-nantuna-backe-33-2877902530853023281
Klarbärsgatan 9,Slavsta,Uppsala kommun,5300000,32716.05,-7.0,,162.0,,5.0,317.0,/salda/villa-5rum-slavsta-uppsala-kommun-klarbarsgatan-9-8492568682799041611
Hammarbygatan 9,Fålhagen,Uppsala kommun,7200000,73469.39,0.0,,98.0,98.0,7.0,661.0,/salda/villa-7rum-falhagen-uppsala-kommun-hammarbygatan-9-8036654807243112540
Stackmästarvägen 22,Valsätra,Uppsala kommun,6600000,58928.57,7.0,,112.0,100.0,8.0,488.0,/salda/villa-8rum-valsatra-uppsala-kommun-stackmastarvagen-22-8349359429956198430
